trace,weight
600.perlbench-s0,0.257321
600.perlbench-s1,0.480997
600.perlbench-s2,0.252336
602.gcc-s0,0.133998
602.gcc-s1,0.0169804
602.gcc-s2,0.186416
602.gcc-s3,0.641196
603.bwaves-s0,0.01245
603.bwaves-s1,0.148012
603.bwaves-s2,0.0221614
603.bwaves-s3,0.0282709
603.bwaves-s4,0.73389
603.bwaves-s5,0.0240058
603.bwaves-s6,0.0192507
605.mcf-s0,0.126582
605.mcf-s1,0.0141772
605.mcf-s2,0.128608
605.mcf-s3,0.0116456
605.mcf-s4,0.0313924
605.mcf-s5,0.0349367
605.mcf-s6,0.440506
605.mcf-s7,0.0688608
605.mcf-s8,0.142785
607.cactuBSSN-s0,0.902072
607.cactuBSSN-s1,0.0392205
607.cactuBSSN-s2,0.0139196
607.cactuBSSN-s3,0.0138377
619.lbm-s0,0.176003
619.lbm-s1,0.177791
619.lbm-s2,0.214938
619.lbm-s3,0.418157
620.omnetpp-s0,0.163321
620.omnetpp-s1,0.828467
621.wrf-s0,0.439899
621.wrf-s1,0.178829
621.wrf-s2,0.196313
621.wrf-s3,0.176834
623.xalancbmk-s0,0.0267934
623.xalancbmk-s1,0.0760588
623.xalancbmk-s2,0.160761
623.xalancbmk-s3,0.0622299
623.xalancbmk-s4,0.257563
623.xalancbmk-s5,0.413137
625.x264-s0,0.0744186
625.x264-s1,0.253488
625.x264-s2,0.22093
625.x264-s3,0.202326
625.x264-s4,0.246512
627.cam4-s0,0.0246801
627.cam4-s1,0.964686
628.pop2-s0,1
631.deepsjeng-s0,0.990287
638.imagick-s0,0.875316
638.imagick-s1,0.103857
638.imagick-s2,0.014378
641.leela-s0,0.211354
641.leela-s1,0.139301
641.leela-s2,0.100873
641.leela-s3,0.0296943
641.leela-s4,0.129258
641.leela-s5,0.255459
641.leela-s6,0.124454
644.nab-s0,0.160171
644.nab-s1,0.0909152
644.nab-s2,0.314125
644.nab-s3,0.239521
644.nab-s4,0.171201
648.exchange2-s0,0.0429435
648.exchange2-s1,0.0807078
648.exchange2-s2,0.0714286
648.exchange2-s3,0.182348
648.exchange2-s4,0.147389
648.exchange2-s5,0.161847
648.exchange2-s6,0.079413
648.exchange2-s7,0.0194217
648.exchange2-s8,0.0520069
648.exchange2-s9,0.162495
649.fotonik3d-s0,0.0887756
649.fotonik3d-s1,0.497231
649.fotonik3d-s2,0.157247
649.fotonik3d-s3,0.20726
649.fotonik3d-s4,0.0486947
654.roms-s0,0.0307914
654.roms-s1,0.0283718
654.roms-s2,0.0192398
654.roms-s3,0.404113
654.roms-s4,0.0158445
654.roms-s5,0.0131127
654.roms-s6,0.0147128
654.roms-s7,0.0375429
654.roms-s8,0.431392
657.xz-s0,0.41243
657.xz-s1,0.425974
657.xz-s2,0.0638219
657.xz-s3,0.0951763
