prefetcher,429.mcf,471.omnetpp,473.astar,450.soplex,482.sphinx3,.bfs,.cc,.pr,.xalancbmk
Paper-ISB, 0.37, 0.55, 0.29, 0.60, 0.92, 0.69, 0.47, 0.45, 0.80
Paper-BO, 0.10, 0.17, 0.05, 0.29, 0.74, 0.67, 0.28, 0.28, 0.22
Paper-Voyager, 0.70, 0.58, 0.55, 0.72, 0.95, 0.77, 0.89, 0.88, 0.97
