prefetcher,429.mcf,471.omnetpp,473.astar,450.soplex,482.sphinx3,.bfs,.cc,.pr,.xalancbmk
Paper-ISB, 0.625, 0.75, 0.70, 0.80, 0.97, 0.88, 0.80, 0.85, 0.90
Paper-BO, 0.25, 0.27, 0.34, 0.60, 0.95, 0.75, 0.88, 0.88, 0.33
Paper-Voyager, 0.80, 0.74, 0.83, 0.91, 0.95, 0.91, 0.96, 0.97, 0.97
